Date,Open,High,Low,Close,Volume
16-01-2012,970,1019.85,970,1008.05,781500
17-01-2012,1020,1120,1019.1,1108.35,3155200
18-01-2012,1112,1144.85,1092.5,1101.8,2781700
19-01-2012,1116.5,1135,1107,1129.95,857800
20-01-2012,1131,1135,1085,1103.5,729300
23-01-2012,1084,1172.45,1070.05,1160.65,2590600
24-01-2012,1167.4,1172.15,1128,1157.95,2008400
25-01-2012,1157,1198,1142,1180.75,1776400
26-01-2012,1180.75,1180.75,1180.75,1180.75,0
27-01-2012,1167.8,1219,1159.7,1210.65,951800
30-01-2012,1204,1226,1185,1193.3,656500
31-01-2012,1198,1209.9,1167.65,1186.7,1045400
01-02-2012,1190,1227,1183,1214.8,1040200
02-02-2012,1225,1233.45,1204.2,1217.65,619800
03-02-2012,1220,1254,1205,1240.85,647700
06-02-2012,1250,1265,1235.5,1252.75,560000
07-02-2012,1251,1262,1240,1246.95,443300
08-02-2012,1248,1280,1245.45,1266.5,517100
09-02-2012,1259.75,1278.9,1255.15,1270,541800
10-02-2012,1262.05,1273.95,1233.25,1244.6,631700
13-02-2012,1242.2,1258.4,1215.25,1225.05,639400
14-02-2012,1220.2,1274.5,1220.2,1267.7,899800
15-02-2012,1276,1324.9,1275.3,1302.8,1011500
16-02-2012,1300,1375,1279.2,1359.6,1510700
17-02-2012,1359,1366.1,1318.05,1321.55,650500
20-02-2012,1321.55,1321.55,1321.55,1321.55,0
21-02-2012,1317.05,1337.05,1295.2,1309.75,665600
22-02-2012,1307,1329.3,1281.05,1306.35,510700
23-02-2012,1291,1307.35,1271.65,1279.4,845200
24-02-2012,1290,1296.55,1277.8,1285.25,375000
27-02-2012,1285.1,1290,1235.25,1257,345300
28-02-2012,1263.5,1279,1243.05,1269.6,741700
29-02-2012,1275.2,1291.8,1239,1254.8,736500
01-03-2012,1267.9,1322,1247.75,1315.05,1543200
02-03-2012,1334,1336.7,1306.65,1330.55,924100
05-03-2012,1320.7,1333.9,1309.1,1315.2,547900
06-03-2012,1302,1350,1300.35,1331.6,662000
07-03-2012,1321.1,1329.9,1281,1308.55,438100
08-03-2012,1315.05,1315.05,1315.05,1315.05,0
09-03-2012,1320,1359,1320,1341.35,625500
12-03-2012,1351,1356,1328.7,1337.25,434600
13-03-2012,1345,1384,1345,1368.25,863800
14-03-2012,1380,1399.7,1366.55,1371.9,688900
15-03-2012,1365,1379.65,1355.1,1366.4,575200
16-03-2012,1352.25,1428.95,1339,1374.35,1604800
19-03-2012,1377.5,1378.8,1353.15,1362.1,323100
20-03-2012,1362.1,1363,1328.5,1358.2,471300
21-03-2012,1365,1372.9,1333,1363.2,841200
22-03-2012,1355.55,1357.7,1321.1,1330.3,437300
23-03-2012,1320.05,1320.5,1286.2,1306.55,806800
26-03-2012,1315,1322.3,1290.4,1297.45,696000
27-03-2012,1310,1310.25,1258.3,1273.7,1138200
28-03-2012,1274.85,1294.95,1254,1288.3,584500
29-03-2012,1279.8,1319.95,1264.2,1305.85,918100
30-03-2012,1309,1356.5,1293.05,1350.5,650400
02-04-2012,1361,1364.2,1332,1338.55,486200
03-04-2012,1345,1349.6,1303.9,1309.55,475200
04-04-2012,1309.55,1337.8,1306.85,1315.7,543700
05-04-2012,1315.7,1315.7,1315.7,1315.7,0
06-04-2012,1315.7,1315.7,1315.7,1315.7,0
09-04-2012,1305,1321.4,1275,1283.35,420500
10-04-2012,1282,1295.2,1260.65,1275.8,534300
11-04-2012,1263.15,1285.1,1262.05,1272.45,401100
12-04-2012,1279.7,1315.7,1276.3,1312.4,671600
13-04-2012,1315.25,1350,1312.4,1322.75,943900
16-04-2012,1312.55,1352.85,1309.9,1342.3,526300
17-04-2012,1394.8,1394.8,1326.4,1342.2,583100
18-04-2012,1350,1366.7,1345.05,1352.5,642600
19-04-2012,1364.4,1401.4,1357.4,1391.25,922500
20-04-2012,1392.25,1417.05,1380,1390.7,816600
23-04-2012,1391.1,1408,1372.1,1377.55,518900
24-04-2012,1375,1376.6,1349.75,1363.75,270400
25-04-2012,1362.1,1389,1362.1,1382.1,593400
26-04-2012,1380,1399,1366.1,1381.95,762000
27-04-2012,1381.05,1388.4,1374.15,1382.5,429200
30-04-2012,1399,1399,1358.25,1371.85,956000
01-05-2012,1374.25,1374.25,1374.25,1374.25,0
02-05-2012,1384.5,1384.5,1324,1332.9,666600
03-05-2012,1329.8,1329.8,1284.1,1290,662700
04-05-2012,1287.3,1291.5,1260.95,1281.3,644700
07-05-2012,1264.95,1329,1254,1310.85,680600
08-05-2012,1324,1331.7,1299.05,1306,632900
09-05-2012,1292.25,1312,1285.55,1301.25,330100
10-05-2012,1290.15,1305.4,1250.15,1261.85,415200
11-05-2012,1247.95,1251.15,1217.1,1235.25,486100
14-05-2012,1235,1258,1231.85,1249,491900
